,query
73,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Percussion_instrument> rdfs:label ?label.    <http://dbpedia.org/resource/Percussion_instrument> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Percussion_instrument> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
74,"select distinct ?label ?abstract ?formationYear ?numberOfStaff ?homepage where { 	{    <http://dbpedia.org/resource/Madagascar> rdfs:label ?label.    <http://dbpedia.org/resource/Madagascar> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Madagascar> dbpedia-owl:formationYear ?formationYear.}    optional {<http://dbpedia.org/resource/Madagascar> dbpedia-owl:numberOfStaff ?numberOfStaff.}    optional {<http://dbpedia.org/resource/Madagascar> foaf:homepage ?homepage.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
75,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
76,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Jazz> rdfs:label ?label.    <http://dbpedia.org/resource/Jazz> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Jazz> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
77,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Lounge_music> rdfs:label ?label.    <http://dbpedia.org/resource/Lounge_music> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Lounge_music> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
78,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Patrick_Wolf> rdfs:label ?label.    <http://dbpedia.org/resource/Patrick_Wolf> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Patrick_Wolf> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Patrick_Wolf> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Patrick_Wolf> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
79,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Grand_Corps_Malade> rdfs:label ?label.    <http://dbpedia.org/resource/Grand_Corps_Malade> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Grand_Corps_Malade> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
80,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/John_Legend> rdfs:label ?label.    <http://dbpedia.org/resource/John_Legend> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/John_Legend> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/John_Legend> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/John_Legend> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
81,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/John_Legend> rdfs:label ?label.    <http://dbpedia.org/resource/John_Legend> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/John_Legend> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/John_Legend> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/John_Legend> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
82,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/John_Legend> rdfs:label ?label.    <http://dbpedia.org/resource/John_Legend> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/John_Legend> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/John_Legend> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/John_Legend> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
83,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Quincy_Jones> rdfs:label ?label.    <http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Quincy_Jones> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
84,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Trombone> rdfs:label ?label.    <http://dbpedia.org/resource/Trombone> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Trombone> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
85,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Quincy_Jones> rdfs:label ?label.    <http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Quincy_Jones> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
86,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Quincy_Jones> rdfs:label ?label.    <http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Quincy_Jones> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
87,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Quincy_Jones> rdfs:label ?label.    <http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Quincy_Jones> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
88,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Quincy_Jones> rdfs:label ?label.    <http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Quincy_Jones> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
89,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
90,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
91,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Quincy_Jones> rdfs:label ?label.    <http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Quincy_Jones> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Quincy_Jones> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
92,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
93,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Madonna_(entertainer)> rdfs:label ?label.    <http://dbpedia.org/resource/Madonna_(entertainer)> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Madonna_(entertainer)> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Madonna_(entertainer)> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Madonna_(entertainer)> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
94,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
95,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Los_Angeles,_California> rdfs:label ?label.    <http://dbpedia.org/resource/Los_Angeles,_California> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Los_Angeles,_California> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Los_Angeles,_California> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
96,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
97,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
98,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
99,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
100,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
101,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Dave_Chappelle> rdfs:label ?label.    <http://dbpedia.org/resource/Dave_Chappelle> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Dave_Chappelle> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Dave_Chappelle> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Dave_Chappelle> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
102,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Dave_Chappelle> rdfs:label ?label.    <http://dbpedia.org/resource/Dave_Chappelle> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Dave_Chappelle> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Dave_Chappelle> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Dave_Chappelle> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
103,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Wow_(film)> rdfs:label ?label.    <http://dbpedia.org/resource/Wow_(film)> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Wow_(film)> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
104,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
105,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Los_Angeles,_California> rdfs:label ?label.    <http://dbpedia.org/resource/Los_Angeles,_California> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Los_Angeles,_California> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Los_Angeles,_California> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
106,"select distinct ?label ?abstract ?formationYear ?numberOfStaff ?homepage where { 	{    <http://dbpedia.org/resource/A_brand> rdfs:label ?label.    <http://dbpedia.org/resource/A_brand> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/A_brand> dbpedia-owl:formationYear ?formationYear.}    optional {<http://dbpedia.org/resource/A_brand> dbpedia-owl:numberOfStaff ?numberOfStaff.}    optional {<http://dbpedia.org/resource/A_brand> foaf:homepage ?homepage.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
107,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
108,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
109,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Nice> rdfs:label ?label.    <http://dbpedia.org/resource/Nice> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Nice> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Nice> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
110,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
111,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
112,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
113,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
114,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
115,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
116,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
117,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
118,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
119,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
120,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
121,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
122,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
123,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
124,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
125,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
126,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Blues> rdfs:label ?label.    <http://dbpedia.org/resource/Blues> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Blues> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
127,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
